City,Country,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Date
Port Blair,IN,11.67,92.75,81.97,74,72,4.14,1595534773
Hobart,AU,-42.88,147.33,39.99,80,51,4.7,1595534753
Lebu,CL,-37.62,-73.65,48.31,62,46,5.3,1595534828
Hermanus,ZA,-34.42,19.23,57.99,85,0,3.0,1595534568
Atuona,PF,-9.8,-139.03,78.67,76,0,18.79,1595534829
Dikson,RU,73.51,80.55,40.98,87,0,7.07,1595534581
Barrow,US,71.29,-156.79,44.6,93,90,18.34,1595534550
Kaitangata,NZ,-46.28,169.85,37.99,79,98,5.01,1595534829
Vila Franca do Campo,PT,37.72,-25.43,69.8,68,40,5.82,1595534608
Qasigiannguit,GL,68.82,-51.19,53.6,62,75,3.36,1595534582
Khatanga,RU,71.97,102.5,41.88,88,100,17.18,1595534563
Cidreira,BR,-30.18,-50.21,66.72,76,100,10.87,1595534582
Santo Antônio do Içá,BR,-3.1,-67.94,88.3,56,48,2.15,1595534582
Tasiilaq,GL,65.61,-37.64,41.0,80,75,9.17,1595534583
Naze,JP,28.37,129.48,82.4,88,40,8.05,1595534549
Bredasdorp,ZA,-34.53,20.04,53.6,93,0,2.24,1595534556
Ushuaia,AR,-54.8,-68.3,41.0,60,75,6.93,1595534554
Keti Bandar,PK,24.14,67.45,85.03,78,96,20.62,1595534584
Port Alfred,ZA,-33.59,26.89,64.17,43,0,8.43,1595534560
Mataura,NZ,-46.19,168.86,39.0,83,68,3.0,1595534559
Busselton,AU,-33.65,115.33,44.01,75,0,4.29,1595534552
Rikitea,PF,-23.12,-134.97,66.83,65,0,17.54,1595534570
Rocha,UY,-34.48,-54.33,70.48,88,100,4.34,1595534306
Barra de Tecoanapa,MX,16.52,-98.75,86.14,64,1,10.04,1595534585
Albany,US,42.6,-73.97,84.0,66,100,3.0,1595534561
Upernavik,GL,72.79,-56.15,46.44,73,74,11.14,1595534585
Bambanglipuro,ID,-7.95,110.28,73.6,86,100,8.46,1595534572
Ponta do Sol,PT,32.67,-17.1,68.0,70,0,1.43,1595534586
Puerto Ayora,EC,-0.74,-90.35,78.8,61,20,25.28,1595534558
Carnarvon,AU,-24.87,113.63,60.8,82,0,12.75,1595534405
Labuhan,ID,-6.88,112.21,75.67,82,99,7.9,1595534564
Hilo,US,19.73,-155.09,77.0,73,90,10.29,1595534559
Todos Santos,MX,23.45,-110.22,78.01,74,16,8.01,1595534587
Vaini,TO,-21.2,-175.2,68.0,100,75,3.36,1595534550
Punta Arenas,CL,-53.15,-70.92,39.2,80,40,18.34,1595534523
